"Company Name","Primary Phone","Email","Website","Primary Representative","Physical Address 1","Physical Address 2","Physical City","Physical State","Physical Zip","Mailing Address 1","Mailing Address 2","Mailing City","Mailing State","Mailing Zip","Membership Status","Join Date","Membership Type","Renewal Month","Billing Contact","Annual Fees and Dues Amount"
"A La Carte Grill, Inc.","(847) 814-5960","alacarte.catering@sbcglobal.net","http://www.alacarteinc.com","Christine DiClementi-Harlow","2120 Lincoln Ave.","","Evanston","IL","60201","2120 Lincoln Ave.","","Evanston","IL","60201","Active","5/9/2023","Basic","January","Christine DiClementi-Harlow","300.00"
"Chalet","847 256-0561","michik@chaletnursery.com","http://www.chaletnursery.com","Michi Kustra","3132 Lake Ave.","","Wilmette","IL","60091","3132 Lake Ave.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Michi Kustra","1,500.00"
"Chantilly Lace Lingerie, Inc.","847 256-8077","larisa@c-lace.com","http://www.c-lace.com","Larissa Olson","1177 Wilmette Ave","","Wilmette","IL","60091","1177 Wilmette Ave","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Larisa Olson","300.00"
"Christensen Animal Hospital","847 251-2600","mlockhart@pawdr.com","http://www.pawdr.com","Linn Lockhart","730 Hibbard Rd.","","Wilmette","IL","60091","730 Hibbard Rd.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Linn Lockhart","1,500.00"
"Convito Cafe & Market","(847) 251-3654","convitocafe@gmail.com","http://www.convitocafeandmarket.com","Candace  Warner","1515 Sheridan Rd. Suite 5","","Wilmette","IL","60091","1515 Sheridan Rd. Suite 5","","Wilmette","IL","60091","Active","9/22/2008","Silver","January","Candace Warner","500.00"
"Daniel's Auto Body","847 251-3393","danielsautowil@sbcglobal.net","http://www.danielsautowilmette.com","Marvin Daniels","517 4th St.","","Wilmette","IL","60091","517 4th St.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Marvin Daniels","300.00"
"de Giulio Design","(847) 256-8833","ccostello@degiuliodesign.com","http://www.degiuliodesign.com","Carrie Costello","1121 Central Ave.","","Wilmette","IL","60091","1121 Central Ave.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Carrie Costello","1,500.00"
"Byline Bank","(847) 256-4849","kogasawara@bylinebank.com","http://www.bylinebank.com","Kim Ogasawara","3245 Lake Ave.","","Wilmette","IL","60091","3245 Lake Ave.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","","1,500.00"
"Fuenfer Jewelers","847 256-9444","nfuenfer@sbcglobal.net","http://www.fuenferjewelers.com","Brett Fuenfer","124 Skokie Blvd.","","Wilmette","IL","60091","124 Skokie Blvd.","","Wilmette","IL","60091","Active","1/1/1989","Silver","January","Brett Fuenfer","500.00"
"Green Bay Animal Hospital","847 251-5900","nharas@vetcor.com","http://greenbayanimalhospital.com/","Nancy Haras","1221 Green Bay Road","","Wilmette","IL","60091","1221 Green Bay Road","","Wilmette","IL","60091","Active","1/1/1900","Silver","January","Nancy Haras","500.00"
"Hanig's Footwear","847 256-3545","wilmette@hanigs.com","http://www.hanigs.com","Daniel Hanig","1181 Wilmette Avenue","","Wilmette","IL","60091","1181 Wilmette Avenue","","Wilmette","IL","60091","Active","3/13/2019","Basic","January","Daniel Hanig","300.00"
"Illinois Bone & Joint Institute - Wilmette","(847) 724-4864","lmjensen@ibji.com","http://www.ibji.com","Ryan Caturan","521 Green Bay Road","","Wilmette","IL","60091","521 Green Bay Road","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Ryan Caturan","500.00"
"Northshore Automotive","847 853-8300","northshoreauto@comcast.net","http://www.nsautomotive.net","Tim Fella","525 Green Bay Rd.","","Wilmette","IL","60091","525 Green Bay Rd.","","Wilmette","IL","60091","Active","9/22/2008","Silver","January","Tim Fella","500.00"
"Irving's for Red Hot Lovers","(847) 251-6300","andy@irvings.com","http://www.irvings.com","Andy Greensphan","3207 Lake Ave.","","Wilmette","IL","60091","3207 Lake Ave.","","Wilmette","IL","60091","Active","5/16/2013","Basic","January","Andy Greensphan","300.00"
"Plaza Orthodontics","847 251-3323","janet@plazaorthodontics.com","http://www.plazaorthodontics.com","Janet Mota","1625 Sheridan Rd.","Ste H","Wilmette","IL","60091","1625 Sheridan Rd.","Ste H","Wilmette","IL","60091","Active","1/1/1900","Silver","January","Janet Mota","500.00"
"Kenilworth Park District","(847) 251-1691","jkiwala@kpdistrict.org","http://www.kenilworthparkdistrict.org","Michael Hixenbaugh","410 Kenilworth Ave.","","Kenilworth","IL","60043","410 Kenilworth Ave.","","Kenilworth","IL","60043","Active","1/1/1900","Silver","January","Monique Austin","1,500.00"
"F.J. Kerrigan Plumbing Co.","847 251-2695","mkerrigan@kerriganplumbing.com","http://www.kerriganplumbing.com","Mike Kerrigan","811 Ridge Rd.","","Wilmette","IL","60091","811 Ridge Rd.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Mike Kerrigan","1,500.00"
"Lambrecht's Jewelers Inc.","(847) 251-3284","info@lambrechtsjewelers.com","http://www.lambrechtsjewelers.com","Matthew Lambrecht","1131 Central Ave.","","Wilmette","IL","60091","1131 Central Ave.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Matt & Beth Lambrecht","1,500.00"
"Michigan Shores Club","(847) 251-4100","communications@michiganshores.org","http://www.michiganshores.org","","911 Michigan Ave.","","Wilmette","IL","60091","911 Michigan Ave.","","Wilmette","IL","60091","Active","1/1/1900","Not-For-Profit","January","","250.00"
"Mid-Central Printing and Mailing","(847) 251-4040","mcpm1910@yahoo.com","http://www.midcentralprinting.com","John Korzak","1211 Wilmette Ave.","","Wilmette","IL","60091","1211 Wilmette Ave.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","John Korzak","300.00"
"New Vision - Optical Boutique","(847) 251-3330","newvopt@gmail.com","http://newvisionopticalwilmette.net","Pat Takata","120 Skokie Blvd.","","Wilmette","IL","60091","120 Skokie Blvd.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Pat Takata","300.00"
"Oakton Community College","847 635-1600","emcdonag@oakton.edu","http://www.oakton.edu","Eilish McDonagh-Hermer","1600 E. Golf Rd.","Room 1420","Des Plaines","IL","60016","1600 E. Golf Rd.","Room 1420","Des Plaines","IL","60016","Active","1/1/1900","Not-For-Profit","January","Eilish McDonagh-Hermer","250.00"
"Pediatric Associates of the North Shore","847 256-6480","info@pansdocs.com","http://www.pansdocs.com","Nichole Cruz","1144 Wilmette Ave.","","Wilmette","IL","60091","1144 Wilmette Ave.","","Wilmette","IL","60091","Active","1/1/1900","Gold","January","Nichole Cruz","1,500.00"
